station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,peak_wind_gust_time,solar_radiation_max,daily_precipitation_total,snow_flag
LINDBERGH HILL,20220,ALBE,36.28556,-112.07861,8800,8/22/2026,F,57,82,22,49,3,9,7,15,,871,0.0,N
LUNA,292004,XLUN,33.82289,-108.94311,7088,8/22/2026,F,54,87,21,75,2,11,3,16,,818,0.0,N
MAGDALENA,292104,XMAG,33.85061,-107.539,8495,8/22/2026,F,58,82,23,53,3,8,5,11,,916,0.0,N
MALPAIS LAVA FLOW,293301,XMAL,34.85181,-108.17461,7514,8/22/2026,F,56,86,23,72,2,13,3,17,,910,0.0,N
MAYHILL,293002,XMAY,32.90947,-105.46981,6599,8/22/2026,F,59,91,16,54,2,6,8,16,,922,0.0,N
MCGREGGOR RANGE,292901,XMCG,32.43133,-105.62181,4832,8/22/2026,F,69,99,13,42,3,10,6,14,,978,0.0,N
MELROSE RANGE,291901,XMEL,34.28422,-103.71497,4263,8/22/2026,F,72,101,12,41,8,14,11,19,,901,0.0,N
MESCAL,293003,XMES,33.15803,-105.76881,6227,8/22/2026,F,57,88,20,59,2,7,6,14,,929,0.0,N
MIDNIGHT,55522315,XMID,36.77819,-105.34131,10815,8/22/2026,F,44,73,28,89,5,9,7,13,,740,0.0,N
MILLS CANYON,291101,XMIL,36.05453,-104.32511,5881,8/22/2026,F,61,95,18,65,3,14,5,19,,853,0.01,N
MOGOLLON,292013,XMOG,33.39064,-108.80819,7602,8/22/2026,F,62,88,20,49,2,9,3,13,,815,0.0,N
MOHAWK DUNES,55522318,AMOD,32.68878,-113.74889,524,8/22/2026,F,88,110,21,46,3,15,6,24,,906,0.0,N
MORMON LAKE,20215,AMOL,34.90972,-111.43842,7094,8/22/2026,F,58,86,22,59,1,3,3,14,,624,0.03,N
MOSS BASIN,20115,AMOS,35.03397,-113.89406,5920,8/22/2026,F,68,92,18,37,5,11,8,17,,809,0.01,N
MOUNTAINAIR,291501,XMOU,34.52081,-106.26269,6593,8/22/2026,F,62,91,16,54,3,11,5,16,,976,0.0,N
MOUNTAIN LION,20310,AFAP,33.69511,-109.71078,7269,8/22/2026,F,58,85,25,59,1,3,6,10,,715,0.0,N
