station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
SLAUGHTER,292008,XSLA,34.06056,-108.44472,8680,2026-08-23T04:12:54.000Z,2026-08-22T21:12:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,20,15.22,18.06,14.92,16.11,1.95,2.12,41.68,23.66,137.54,128.44,0.64,0
PELONA MOUNTAIN,292009,XPEL,33.69375,-108.06161,7955,2026-08-23T03:38:25.000Z,2026-08-22T20:38:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,235,10.86,8.55,11.81,13.78,9.04,5.25,74.68,46.93,77.68,90.34,0.45,0
GILA CENTER RAWS,292011,XGIL,33.22375,-108.24031,5767,2026-08-23T04:13:04.000Z,2026-08-22T21:13:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,146,17.06,17.17,14.9,16.24,1.09,1.71,40.0,21.03,30.0,60.0,0.15,0
DATIL,292012,XDAT,34.29256,-107.768,8431,2026-08-23T04:11:04.000Z,2026-08-22T21:11:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,176,12.42,10.53,13.79,14.66,7.22,6.75,62.58,48.58,89.82,98.07,0.49,0
MOGOLLON,292013,XMOG,33.39064,-108.80819,7602,2026-08-23T04:13:15.000Z,2026-08-22T21:13:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,159,12.13,16.41,11.24,12.82,5.81,3.47,60.05,35.09,54.78,75.77,0.38,0
CHUPADERA,292102,XCHU,33.77294,-106.0985,5580,2026-08-23T03:39:45.000Z,2026-08-22T20:39:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,515,5.94,6.58,10.29,10.94,46.87,19.28,99.8,97.58,30.0,60.0,0.01,0
BOSQUE,292103,XBOS,33.82064,-106.88169,4523,2026-08-23T03:50:24.000Z,2026-08-22T20:50:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,668,24.34,24.53,11.28,11.93,0.0,0.71,29.75,12.27,30.0,60.0,0.0,0
MAGDALENA,292104,XMAG,33.85061,-107.539,8495,2026-08-23T04:03:54.000Z,2026-08-22T21:03:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,55,11.72,9.07,12.23,14.13,5.12,2.46,70.4,32.22,115.27,114.26,0.57,0
SEVILLETA,292105,XSEV,34.35844,-106.6895,5246,2026-08-23T04:11:44.000Z,2026-08-22T21:11:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,555,10.82,16.27,11.5,11.62,8.2,3.64,64.36,37.05,30.0,60.0,0.0,0
SMOKEY BEAR,292203,XSMO,33.35019,-105.686,7194,2026-08-23T04:00:04.000Z,2026-08-22T21:00:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,95,9.45,8.68,14.61,16.51,9.64,3.22,67.17,35.7,30.0,60.0,0.28,0
EIGHT MILE DRAW,292301,XEIG,33.65064,-104.32139,3626,2026-08-23T03:37:25.000Z,2026-08-22T20:37:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,603,4.97,5.41,8.51,9.22,53.87,17.15,113.92,98.26,30.0,60.0,0.0,0
DUNKEN,292302,XDUN,32.82467,-105.18261,5431,2026-08-23T03:36:15.000Z,2026-08-22T20:36:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,484,5.45,5.64,8.72,9.77,36.16,9.94,110.07,75.25,30.0,60.0,0.02,0
BURRO MOUNTAIN,292504,XBUR,32.67203,-108.53969,6995,2026-08-23T03:59:44.000Z,2026-08-22T20:59:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,286,8.79,6.63,9.59,11.73,14.98,5.78,92.27,54.06,30.0,60.0,0.21,0
HACHITA VALLEY,292702,XHAC,31.702,-108.34169,4290,2026-08-23T03:40:54.000Z,2026-08-22T20:40:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,588,5.11,4.79,7.93,10.32,31.09,6.31,113.88,62.01,30.0,60.0,0.04,0
MCGREGGOR RANGE,292901,XMCG,32.43133,-105.62181,4832,2026-08-23T03:37:35.000Z,2026-08-22T20:37:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,595,5.09,4.9,7.71,9.72,36.35,8.85,115.74,73.0,30.0,60.0,0.01,0
DRIPPING SPRINGS,292903,XDRI,32.32225,-106.58661,5814,2026-08-23T04:26:15.000Z,2026-08-22T21:26:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,444,4.62,4.77,7.46,9.69,58.96,26.15,118.2,121.34,30.0,60.0,0.12,0
SAN ANDRES,292904,XSAA,32.58008,-106.52719,6137,2026-08-23T04:01:54.000Z,2026-08-22T21:01:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,489,5.02,5.04,7.81,9.93,40.1,10.35,114.75,78.13,30.0,60.0,0.09,0
MAYHILL,293002,XMAY,32.90947,-105.46981,6599,2026-08-23T04:01:54.000Z,2026-08-22T21:01:00.000-07:00,2026-08-23T04:00:00.000Z,2026-08-22T21:00:00.000-07:00,2026-08-22,21,O,Z,4,462,7.78,7.19,12.15,14.23,16.37,5.13,82.77,48.69,30.0,60.0,0.14,0
