station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
DATIL,292012,XDAT,34.29256,-107.768,8431,8/23/2026 16:00 MDT,8/23/2026 16:11 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,178,34.86,12.22,13.21,14.5,0.0,0.0,22.1,0.0,92.15,99.55,0.5,0
MOGOLLON,292013,XMOG,33.39064,-108.80819,7602,8/23/2026 16:00 MDT,8/23/2026 16:13 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,165,5.06,8.27,11.07,12.43,40.26,2.63,45.88,27.31,56.93,77.14,0.39,0
CHUPADERA,292102,XCHU,33.77294,-106.0985,5580,8/23/2026 15:39 MDT,8/23/2026 15:39 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,519,3.91,7.2,10.15,10.88,53.46,2.95,52.49,30.61,30.0,60.0,0.01,0
BOSQUE,292103,XBOS,33.82064,-106.88169,4523,8/23/2026 15:00 MDT,8/23/2026 15:50 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,670,4.3,8.54,10.89,11.72,49.82,2.82,48.28,28.86,30.0,60.0,0.0,0
MAGDALENA,292104,XMAG,33.85061,-107.539,8495,8/23/2026 16:00 MDT,8/23/2026 16:03 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,60,5.68,8.32,11.79,13.7,30.04,1.89,41.57,22.42,113.34,113.04,0.57,0
SEVILLETA,292105,XSEV,34.35844,-106.6895,5246,8/23/2026 16:00 MDT,8/23/2026 16:11 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,558,4.13,7.48,10.87,11.66,56.07,3.46,49.22,31.96,30.0,60.0,0.0,0
SMOKEY BEAR,292203,XSMO,33.35019,-105.686,7194,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,103,5.29,8.19,13.3,15.9,44.04,3.38,35.42,27.18,30.0,60.0,0.27,0
EIGHT MILE DRAW,292301,XEIG,33.65064,-104.32139,3626,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,607,3.06,5.84,8.39,9.1,81.79,5.44,61.34,43.6,30.0,60.0,0.0,0
DUNKEN,292302,XDUN,32.82467,-105.18261,5431,8/23/2026 15:36 MDT,8/23/2026 15:36 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,488,3.43,6.18,8.42,9.63,75.62,5.23,59.09,42.06,30.0,60.0,0.02,0
BURRO MOUNTAIN,292504,XBUR,32.67203,-108.53969,6995,8/23/2026 15:00 MDT,8/23/2026 15:59 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,293,4.32,6.88,9.33,11.44,55.41,3.72,51.6,33.79,30.0,60.0,0.2,0
HACHITA VALLEY,292702,XHAC,31.702,-108.34169,4290,8/23/2026 15:40 MDT,8/23/2026 15:40 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,591,3.16,5.67,7.73,10.02,67.32,3.53,59.2,35.16,30.0,60.0,0.04,0
MCGREGGOR RANGE,292901,XMCG,32.43133,-105.62181,4832,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,598,3.09,5.54,7.47,9.49,79.96,5.44,61.29,43.57,30.0,60.0,0.01,0
DRIPPING SPRINGS,292903,XDRI,32.32225,-106.58661,5814,8/23/2026 16:00 MDT,8/23/2026 16:26 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,449,3.89,5.23,7.26,9.43,56.1,3.28,61.33,34.52,30.0,60.0,0.12,0
SAN ANDRES,292904,XSAA,32.58008,-106.52719,6137,8/23/2026 16:00 MDT,8/23/2026 16:01 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,493,3.95,5.53,7.65,9.7,52.63,2.96,59.77,32.57,30.0,60.0,0.09,0
MAYHILL,293002,XMAY,32.90947,-105.46981,6599,8/23/2026 16:00 MDT,8/23/2026 16:01 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,467,4.24,7.24,11.21,13.81,48.8,2.85,43.28,27.57,30.0,60.0,0.13,0
MESCAL,293003,XMES,33.15803,-105.76881,6227,8/23/2026 15:41 MDT,8/23/2026 15:41 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,217,5.16,8.71,13.17,15.92,40.05,2.6,35.32,24.08,36.38,64.06,0.32,0
COSMIC,293004,XCOS,32.77925,-105.81989,9172,8/23/2026 16:00 MDT,8/23/2026 16:15 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,71,6.1,7.96,12.09,13.96,31.48,2.42,40.62,24.83,199.84,168.08,0.84,0
